landowner,habitat,transect,Janis.Joplin,Brain.Jones,Jim.Morrison,Kurt.Cobain,Amy.Winehouse,Freaky.Tah,Anton.Yelchin,Richard.Turner,Rodrigo.Bueno,Richey.Edwards,Mia.Zapata,Kristen.Pfaff,Chris.Bell,Jimi.Hendrix,Gary.Thain,Linda.Jones,Robert.Johnson,Nat.Jaffe,Rudy.Lewis,Dickie.Pride,Jesse.Belvin,Leslie.Harvey,Dave.Alexander,Pete.Ham,Chris.Austin,Bryan.Ottoson,Nicole.Bogner
donald,grassland,G1,2,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
donald,grassland,G2,1,0,2,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
donald,grassland,G3,7,1,31,11,2,5,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
donald,grassland,G4,24,9,30,18,14,14,0,0,0,0,0,0,0,2229,0,0,0,0,0,0,0,0,0,0,0,0,0
donald,grassland,G5,503,206,600,248,256,163,37,13,2,2,12,0,31,4771,0,0,2,0,0,0,0,0,0,0,0,0,0
donald,grassland,G6,782,320,684,288,448,224,129,54,13,19,35,2,58,33484,1,0,8,0,0,0,0,0,0,0,0,0,0
donald,savanna,S1,242,150,306,174,376,202,505,256,321,651,251,3566,399,136425,5953,338,335,28,174,175,0,53,0,0,0,0,0
donald,savanna,S2,177,134,0,345,664,457,0,414,433,1088,753,7307,2970,49729,159,3477,2631,5877,3673,3286,2457,4228,5035,3071,221,14,0
donald,savanna,S3,210,19,1608,66,86,74,2551,39,30,96,152,482,1906,24101,0,418,680,344,937,995,401,1479,3317,3812,4779,1631,234
donald,savanna,S4,140,16,566,50,74,73,642,34,20,41,100,205,407,27346,45,260,748,99,958,1107,72,1584,1561,2875,4988,8125,8115
donald,savanna,S5,10,11,66,24,20,21,54,7,1,9,41,22,434,13075,7,64,346,5,339,476,0,604,70,229,12,230,1635
donald,savanna,S6,40,11,84,14,26,23,31,6,0,3,44,8,170,20544,2,31,460,1,309,681,0,501,3,10,0,0,16
donald,forest,F1,1,0,10,0,2,6,12,0,0,0,4,0,256,457,0,0,76,0,22,97,0,37,0,10,10,10,0
donald,forest,F2,0,0,25,0,1,1,3,0,0,0,2,0,38,163,0,0,15,0,2,21,0,10,0,10,10,10,0
donald,forest,F3,0,0,12,0,0,0,2,0,0,0,0,0,21,502,0,0,38,0,0,3,0,15,0,10,10,10,0
donald,forest,F4,0,0,5,0,0,0,15,0,0,0,0,0,1,159,0,0,32,0,0,30,0,5,0,10,10,10,0
donald,forest,F5,0,0,20,0,0,0,40,0,0,0,0,0,50,700,0,0,40,0,0,10,0,42,0,10,10,10,0
donald,forest,F6,0,0,5,0,0,0,32,0,0,0,0,0,100,300,0,0,10,0,0,25,0,78,0,10,10,10,0
steven,grassland,G1,2,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
steven,grassland,G2,1,0,2,1,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
steven,grassland,G3,7,1,31,11,2,5,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0
steven,grassland,G4,24,9,30,18,14,14,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0
steven,grassland,G5,503,206,600,248,256,163,37,13,2,2,12,0,31,477,0,0,2,0,0,0,0,0,0,0,0,0,0
steven,grassland,G6,782,320,684,288,448,224,129,54,13,19,35,2,58,334,1,0,8,0,0,0,0,0,0,0,0,0,0
steven,savanna,S1,242,150,306,174,376,202,505,256,321,651,251,3566,399,1642,5953,338,335,28,174,175,0,53,0,0,0,0,0
steven,savanna,S2,177,134,0,345,664,457,0,414,433,1088,753,7307,2970,4972,159,3477,2631,5877,3673,3286,2457,4228,5035,3071,221,14,0
steven,savanna,S3,210,19,1608,66,86,74,2551,39,30,96,152,482,1906,2410,0,418,680,344,937,995,401,1479,3317,3812,4779,1631,234
steven,savanna,S4,140,16,566,50,74,73,642,34,20,41,100,205,407,2734,45,260,748,99,958,1107,72,1584,1561,2875,4988,8125,8115
steven,savanna,S5,10,11,66,24,20,21,54,7,1,9,41,22,434,1307,7,64,346,5,339,476,0,604,70,229,12,230,1635
steven,savanna,S6,40,11,84,14,26,23,31,6,0,3,44,8,170,2054,2,31,460,1,309,681,0,501,3,10,0,0,16
steven,forest,F1,1,0,10,0,2,6,12,0,0,0,4,0,256,457,0,0,200,0,22,97,0,37,0,0,300,200,100
steven,forest,F2,0,0,25,0,1,1,3,0,0,0,2,0,38,163,0,0,150,0,2,21,0,10,0,0,200,100,300
steven,forest,F3,0,0,12,0,0,0,2,0,0,0,0,0,210,502,0,0,380,0,0,3,0,150,0,0,100,100,200
steven,forest,F4,0,0,5,0,0,0,15,0,0,0,0,0,100,159,0,0,320,0,0,30,0,5,0,0,300,100,200
steven,forest,F5,0,0,20,0,0,0,40,0,0,0,0,0,500,700,0,0,420,0,0,10,0,42,0,0,200,300,100
steven,forest,F6,0,0,5,0,0,0,32,0,0,0,0,0,100,300,0,0,100,0,0,250,0,78,0,0,100,200,100
